 ,Criteria Name,Benefit/Non-benefit,Pillar,Year,Retrieved,Source,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Criteria 1,Private Investment in AI (bilions of U.S dollars),Benefit,Economic Impact,2025,2025-10-13 00:00:00,Source PDF file page 253,,,,,
Criteria 2,Number of AI Startups per 1 million inhabitants ,Benefit,Economic Impact,2025,2025-09-21 00:00:00,tracxn,Source population 21/9/2025,,,,
Criteria 3,Average Labor Productivity Growth (%) ,Benefit,Economic Impact,2017-2022,2025-10-13 00:00:00,Source,,,,,
Criteria 4,Share of Jobs at High Risk of Automation (%),Non-benefit,Economic Impact,2019,2025-10-13 00:00:00,Source,,,,,
Criteria 5,Share of high digital-intensive sectors in total employment (%) ,Benefit,Social Impact,2018,2025-10-13 00:00:00,Source,,,,,
Criteria 6,Income inequality: Gini coefficient,Non-benefit,Social Impact,2020,2025-10-14 00:00:00,Our World in Data,,,,,
Criteria 7,AI Adoption in Public Healthcare,Benefit,Social Impact,2023,2025-10-14 00:00:00,GOV.UK,,,,,
Criteria 8,Maturity of the National AI Strategy,Benefit, Policy & Governance,2023,2025-10-14 00:00:00,A cluster analysis of national AI strategies,,,,,
Criteria 9, Data protection privacy law index,Benefit, Policy & Governance,2025,10/13/2025,Source,,,,,
Criteria 10, Government AI readiness index score,Benefit, Policy & Governance,2025,10/13/2025,Source,,,,,
Criteria 11, Fixed Broadband Speed (Mbps),Benefit,Tech Readiness,2025-08-01 00:00:00,2025-10-13 00:00:00,Source,,,,,
Criteria 12, AI publications by country (%),Benefit,Tech Readiness,2025,10/13/2025,Source,,,,,
Criteria 13, Percentage of SMEs using/have applied AI (%),Benefit,Tech Readiness,2025,10/13/2025,Canada(01/25/2025),France(02/07/2025),Germany(06/16/2025),Italy(01/18/2025),JAV(01/29/2025),US/UK
,,,,,,,,,,,
,,,,,,,,,,,
 ,Pillar Name,Criteria,,,,,,,,,
Pillar A,Economic Impact,,,,,,,,,,
Pillar B,Social Impact,,,,,,,,,,
Pillar C,Policy & Governance,,,,,,,,,,
Pillar D,Tech Readiness,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,, ,,,,,,,,
