 ,Canada,France,Germany,Italy,Japan,United Kingdom,United States
Criteria 1,2.89,2.62,1.97,0.86,0.93,4.52,109.08
Criteria 2,19.69,8.4,9.38,3.52,2.13,21.96,24.45
Criteria 3,0.731,-0.077,0.824,0.369,0.656,0.809,1.349
Criteria 4,13.5,16.4,18.4,15.2,15.1,11.7,10.2
Criteria 5,21.86,24.21,24.21,21.03,21.53,26.65,23.71
Criteria 6,0.2985,0.3066,0.3243,0.3524,0.3234,0.3254,0.4
Criteria 7,4.0,4.0,3.0,2.0,3.0,5.0,5.0
Criteria 8,6.0,14.0,13.0,15.0,14.0,12.0,18.0
Criteria 9,3.0,5.0,5.0,5.0,4.0,4.0,1.0
Criteria 10,78.18,79.35,76.9,71.22,75.75,78.88,87.03
Criteria 11,235.44,307.96,98.33,96.32,214.9,143.83,285.59
Criteria 12,1.61,1.56,2.8,1.68,2.79,2.65,12.49
Criteria 13,71.0,35.0,40.9,8.2,16.0,60.0,64.0
