,Criteria 1,Criteria 2,Criteria 3,Criteria 4,Criteria 5,Criteria 6,Criteria 7,Criteria 8,Criteria 9,Criteria 10,Criteria 11,Criteria 12,Criteria 13
Criteria 1,1.0,0.5876126792981001,0.6905709976331819,0.6693982432826943,0.11395217872448228,-0.8596559452434608,0.5344848157342771,0.5715909939145053,-0.8659903741597845,0.8317219093800166,0.4545848483372038,0.9892550602964694,0.4213825357917508
Criteria 2,0.5876126792981001,1.0,0.6377255944977746,0.7673894404993956,0.5406580502581164,-0.29046310886595705,0.8785073775217781,-0.16323613858092775,-0.7366194636772427,0.7651045096585144,0.2973610743275509,0.5543739519688484,0.9418016989815933
Criteria 3,0.6905709976331819,0.6377255944977746,1.0,0.599324674292839,0.15858051335965398,-0.6123126237035705,0.4338772939555475,0.15203037520431484,-0.7769987262376365,0.5709305840712886,-0.056797618733276406,0.7495698847493247,0.5457959984707333
Criteria 4,0.6693982432826943,0.7673894404993955,0.599324674292839,0.9999999999999999,0.21324066993201474,-0.5397640883028503,0.7121055242543382,0.12439979143861779,-0.8253117995010515,0.6147803662933515,0.34824309480332505,0.641458299853837,0.5682384329304604
Criteria 5,0.11395217872448228,0.5406580502581163,0.15858051335965398,0.21324066993201474,0.9999999999999999,0.01804186970196289,0.6968561574483683,0.0773687977711667,-0.013011717035360682,0.46008219415930507,0.01060824847621946,0.13995716346325876,0.49810739904708357
Criteria 6,-0.8596559452434607,-0.29046310886595705,-0.6123126237035704,-0.5397640883028503,0.01804186970196289,1.0,-0.1703526012313501,-0.7814061479704123,0.608473894720407,-0.4679896448078191,-0.04632090763571136,-0.8724110885640114,-0.025232987142326257
Criteria 7,0.534484815734277,0.8785073775217781,0.4338772939555475,0.7121055242543382,0.6968561574483683,-0.1703526012313501,0.9999999999999999,-0.029144735409088535,-0.6431758808251546,0.8550485119201682,0.5530117417956886,0.5135127820489649,0.8352402781683915
Criteria 8,0.5715909939145053,-0.16323613858092775,0.1520303752043148,0.12439979143861778,0.07736879777116672,-0.7814061479704123,-0.029144735409088535,1.0,-0.15064317024954937,0.27030652734550503,0.08107495332190047,0.6063518164752104,-0.39706648471016043
Criteria 9,-0.8659903741597846,-0.7366194636772427,-0.7769987262376365,-0.8253117995010515,-0.013011717035360682,0.6084738947204071,-0.6431758808251548,-0.15064317024954937,0.9999999999999999,-0.8033391754868621,-0.5174938745858825,-0.8497283694523797,-0.6430085877486882
Criteria 10,0.8317219093800166,0.7651045096585144,0.5709305840712886,0.6147803662933515,0.46008219415930507,-0.4679896448078192,0.8550485119201681,0.27030652734550503,-0.8033391754868621,1.0,0.6732388987596459,0.8172659137233401,0.7209361706263604
Criteria 11,0.4545848483372038,0.2973610743275509,-0.056797618733276406,0.34824309480332505,0.01060824847621946,-0.04632090763571136,0.5530117417956887,0.08107495332190047,-0.5174938745858825,0.673238898759646,1.0,0.38898249665426193,0.34912197622330454
Criteria 12,0.9892550602964693,0.5543739519688484,0.7495698847493247,0.641458299853837,0.13995716346325876,-0.8724110885640114,0.5135127820489649,0.6063518164752105,-0.8497283694523797,0.8172659137233401,0.3889824966542619,1.0,0.3878050556435502
Criteria 13,0.4213825357917508,0.9418016989815934,0.5457959984707333,0.5682384329304604,0.49810739904708357,-0.02523298714232626,0.8352402781683916,-0.39706648471016043,-0.6430085877486881,0.7209361706263604,0.3491219762233045,0.3878050556435503,1.0
