,Standard Deviation,Conflict (Sum(1-r)),Information (C),CRITIC Weights
Criteria 1,0.3454429633950249,7.8610920570105645,2.7155589356948213,0.06596309047645335
Criteria 2,0.37794201520905923,7.219784334112455,2.728659840609257,0.06628132189645132
Criteria 3,0.2850371255627039,8.907703052439825,2.539026073433571,0.06167496657962228
Criteria 4,0.31551864592813295,8.106497350223027,2.557751067162367,0.062129811598549314
Criteria 5,0.3253620280860084,9.085558474693729,2.9560957316203726,0.07180592092435657
Criteria 6,0.3110679809628262,16.0393933790451,4.989341714288082,0.12119508606183821
Criteria 7,0.34338583575847514,6.830028734618072,2.345335125291227,0.056970059104095735
Criteria 8,0.28322326793738856,11.638373421448916,3.296258153898408,0.08006873722433659
Criteria 9,0.33881546358946923,18.216847244239187,6.172149544195445,0.14992643078607773
Criteria 10,0.2789673383812642,6.691913234357186,1.8668252236669811,0.04534667228680953
Criteria 11,0.3773924352798529,9.46438506825577,3.571787329335322,0.08676156045470314
Criteria 12,0.3335144974921589,7.9336070331393245,2.6459729629577193,0.06427279174818251
Criteria 13,0.35694966462948235,7.796878513717947,2.783093170628438,0.06760355085852361
