,Ideal Solution (PIS),Negative Ideal (NIS)
Criteria 1,0.06584936977870709,0.0005191644482002944
Criteria 2,0.039978200251786944,0.0034827634575176356
Criteria 3,0.04031009105354374,-0.0023008725063920444
Criteria 4,0.016418879342842817,0.02961837057924587
Criteria 5,0.030928204172721862,0.024406008771194778
Criteria 6,0.04088524023055967,0.054787591598739936
Criteria 7,0.02793186952522293,0.011172747810089171
Criteria 8,0.0401273637865092,0.0133757879288364
Criteria 9,0.06930351714698794,0.01386070342939759
Criteria 10,0.019047596290593286,0.015587381452557208
Criteria 11,0.047407638238376744,0.014827587073387608
Criteria 12,0.058783608090015024,0.0073420679439890665
Criteria 13,0.03799600583739105,0.004388271096712769
